Location,Rate (WB),Year,Rate (ITU),Year.1,Users (CIA),Year.2,Notes
WW,67.4,2023,67.4,2023,,,
AF,18.4,2020,17.6,2019,7020000,2020,
AL,83.1,2023,83.1,2023,2291000,2021,
DZ,71.2,2022,71.2,2022,31240000,2021,
AS,,,,,18135,2021,
AD,94.5,2022,94.5,2022,74260,2021,
AO,39.3,2022,39.3,2022,11550000,2021,
AI,,,81.6,2016,13056,2021,
AG,91.4,2022,91.4,2022,89280,2021,
AR,89.2,2023,89.2,2023,39150000,2021,
AM,78.6,2021,77,2022,2212000,2021,
AW,97.2,2017,97.2,2017,106800,2021,
AU,95,2021,94.9,2022,24960000,2021,
AT,95.3,2023,95.3,2023,8277000,2021,
AZ,88,2022,88,2022,8600000,2021,
BS,94.4,2022,94.4,2022,385400,2021,
BH,100,2021,100,2023,1500000,2021,
BD,44.5,2023,44.5,2023,66300000,2021,
BB,76.2,2022,76.2,2022,240800,2021,
BY,91.5,2023,91.5,2023,8352000,2021,
BE,94.6,2023,94.6,2023,10920000,2021,
BZ,70.4,2022,70.4,2022,248000,2021,
BJ,33.8,2022,33.8,2022,4420000,2021,
BM,98.4,2017,98.4,2017,64000,2021,
BT,86.8,2022,86.8,2022,670800,2021,
BO,73.3,2022,73.3,2022,7920000,2021,
BA,83.4,2023,83.4,2023,2508000,2021,
BW,77.3,2022,77.3,2022,1924000,2021,
BR,84.2,2023,84.2,2023,170100000,2021,
VG,77.7,2016,77.7,2017,24087,2021,
BN,99,2022,99,2022,441000,2021,
BG,80.4,2023,80.4,2023,5175000,2021,
BF,19.9,2022,19.9,2022,4840000,2021,
BI,11.3,2022,11.3,2022,754000,2021,
KH,56.7,2022,56.7,2022,10200000,2021,
CM,43.9,2022,43.9,2022,12420000,2021,
CA,94.6,2018,94,2022,35340000,2021,
CV,72.1,2022,72.1,2022,413000,2021,
KY,81.1,2017,81.1,2017,55148,2021,
CF,10.6,2021,7.5,2019,605000,2021,
TD,12.2,2022,12.2,2022,3060000,2021,
CL,94.1,2023,94.1,2023,17100000,2021,
CN,77.5,2023,77.5,2023,1022000000,2021,
CX,,,,,1139,2021,
CC,,,,,80,2021,
CO,73,2021,72.8,2022,37960000,2021,
KM,27.3,2021,16.4,2019,221400,2021,
CK,,,54,2016,11382,2021,
CR,85.1,2023,85.1,2023,4316000,2021,
HR,83.2,2023,83.2,2023,3321000,2021,
CU,73.2,2022,73.2,2022,7810000,2021,
CW,68.1,2017,68.1,2017,111956,2021,
CY,91.2,2023,91.2,2023,809900,2021,
CZ,86,2023,86,2023,9130000,2021,
CD,27.2,2022,27.2,2022,21102720,2021,
DK,98.9,2021,98.8,2023,5841000,2021,
DJ,65,2022,65,2022,759000,2021,
DM,83.4,2022,83.4,2022,58320,2021,
DO,85.2,2021,84.4,2022,9350000,2021,
TL,40.8,2022,40.8,2022,507000,2021,
EC,72.7,2023,72.7,2023,13680000,2021,
EG,72.2,2022,72.2,2022,79200000,2021,
SV,62.9,2022,62.9,2022,3969000,2021,
GQ,66.8,2022,66.8,2022,864000,2021,
ER,26.6,2022,26.6,2022,792000,2021,
EE,93.2,2023,93.2,2023,1183000,2021,
SZ,58.3,2022,58.3,2022,708000,2021,
ET,19.4,2022,19.4,2022,20400000,2021,
FK,,,99,2016,3762,2021,
FO,97.6,2017,97.6,2017,51728,2021,
FJ,85.2,2022,85.2,2022,809600,2021,
FI,93.5,2023,93.5,2023,5115000,2021,
FR,86.8,2023,86.8,2023,55900000,2021,
GF,,,25.7,2009,,,
PF,72.7,2017,72.7,2017,218100,2021,
GA,73.7,2022,73.7,2022,1656000,2021,
GM,54.2,2022,54.2,2022,858000,2021,
GE,81.9,2023,81.9,2023,2888000,2021,
DE,92.5,2023,92.5,2023,75530000,2021,
GH,69.8,2022,69.8,2022,22440000,2021,
GI,94.4,2016,94.4,2016,31152,2021,
GR,85,2023,85,2023,7800000,2021,
GL,69.5,2017,69.5,2017,38920,2021,
GD,79.9,2022,79.9,2022,93600,2021,
GP,,,23.4,2009,,,
GU,80.5,2017,80.5,2017,136850,2021,
GT,54.4,2022,54.4,2022,9180000,2021,
GG,,,83.6,2011,55069,2021,
GN,33.9,2022,33.9,2022,4900000,2021,
GW,31.6,2022,31.6,2022,735000,2021,
GY,85.3,2022,85.3,2022,680000,2021,
HT,39.3,2019,39.3,2019,4290000,2021,
HN,59.7,2022,59.7,2022,4800000,2021,
HK,95.6,2022,95.6,2022,6975000,2021,
HU,91.5,2023,91.5,2023,8633000,2021,
IS,99.9,2022,99.9,2022,370000,2021,
IN,43.4,2020,43.4,2020,644000000,2021,
ID,69.2,2023,69.2,2023,167400000,2021,
IR,81.7,2022,81.7,2022,69520000,2021,
IQ,78.7,2022,78.7,2022,21560000,2021,
IE,95.6,2022,95.6,2022,4750000,2021,
IL,91.9,2022,91.9,2022,8010000,2021,
IT,87,2023,87,2023,44250000,2021,
CI,43.8,2017,38.4,2022,12150000,2021,
JM,85.1,2022,85.1,2022,2296000,2021,
JP,93.2,2016,84.9,2022,99600000,2021,
JE,,,41,2012,96038,2021,
JO,90.5,2022,90.5,2022,9130000,2021,
KZ,92.9,2023,92.9,2023,17290000,2021,
KE,40.8,2022,40.8,2022,15370000,2021,
KI,54.4,2022,54.4,2022,70200,2021,
XK,89.4,2018,89.4,2018,1756300,2021,
KW,99.8,2022,99.7,2023,4300000,2021,
KG,79.8,2022,79.8,2022,5070000,2021,
LA,66.2,2022,66.2,2022,4588000,2021,
LV,92.2,2023,92.2,2023,1729000,2021,
LB,90.1,2022,90.1,2022,4872000,2021,
LS,47,2022,47,2022,1104000,2021,
LR,30.1,2022,30.1,2022,1768000,2021,
LY,88.4,2022,88.4,2022,3095400,2021,
LI,99.6,2017,96.8,2022,37440,2021,
LT,88.5,2023,88.5,2023,2436000,2021,
LU,99.4,2023,99.3,2023,633600,2021,
MO,89.8,2022,89.8,2022,607200,2021,
MG,20.6,2022,20.6,2022,5800000,2021,
MW,27.7,2022,18,2023,4800000,2021,
MY,97.7,2023,97.7,2023,32980000,2021,
MV,85.2,2021,83.9,2022,447200,2021,
ML,33.1,2022,33.1,2022,7480000,2021,
MT,91.9,2023,91.9,2023,461100,2021,
MH,73.2,2022,73.2,2022,16254,2021,
MQ,,,42,2009,,,
MR,44.4,2022,44.4,2022,2714000,2021,
MU,75.5,2022,75.5,2022,884000,2021,
YT,,,1.2,2000,,,
MX,81.2,2023,81.2,2023,98800000,2021,
FM,40.5,2022,40.5,2022,44000,2021,
MD,71,2016,63.5,2022,1891000,2021,
MC,98.6,2020,98.4,2022,31820,2021,
MN,83.9,2022,83.9,2022,2772000,2021,
ME,88.2,2022,88.2,2022,516600,2021,
MS,,,54.6,2011,2473,2021,
MA,89.9,2022,89.9,2022,32560000,2021,
MZ,21.2,2022,21.2,2022,5440000,2021,
MM,48.1,2019,48.1,2019,23760000,2021,
NA,62.2,2022,62.2,2022,1325000,2021,
NR,83.3,2021,82.7,2022,10920,2021,
NP,49.6,2022,49.6,2022,15600000,2021,
NL,97,2023,97,2023,16560000,2021,
NC,82,2017,82,2017,237800,2021,
NZ,95.7,2021,95.7,2022,4896000,2021,
NI,61.1,2022,61.1,2022,3933000,2021,
NE,16.9,2022,16.9,2022,5500000,2021,
NG,35.5,2022,35.5,2022,115500000,2021,
NU,,,79.6,2011,1512,2021,
NF,,,,,806,2021,
MK,84.2,2022,84.2,2022,1743000,2021,
MP,,,,,12299,2021,
NO,99,2021,99,2023,5346000,2021,
OM,97.9,2022,95.3,2023,4320000,2021,
PK,33,2022,32.9,2022,48300000,2021,
PW,,,27,2004,6696,2021,
PS,88.7,2022,86.6,2023,7540651,,[a]
PA,73.6,2022,73.6,2022,2992000,2021,
PG,27,2022,27,2022,3168000,2021,
PY,78.1,2023,78.1,2023,5159000,2021,
PE,74.7,2022,74.7,2022,24140000,2021,
PH,75.2,2022,75.2,2022,58300000,2021,
PN,,,,,37,2021,
PL,86.9,2022,86.4,2023,32300000,2021,
PT,85.8,2023,85.8,2023,8200000,2021,
PR,87.3,2022,87.3,2022,2564100,2021,
QA,100,2021,100,2022,2700000,2021,
CG,36.3,2022,36.2,2022,1794390,2021,
RE,,,36.3,2009,,,
RO,89.2,2023,89.2,2023,15960000,2021,
RU,92.3,2023,92.2,2023,132000000,2021,
RW,34.4,2022,34.4,2022,3900000,2021,
BL,,,,,7077,2022,
SH,,,40.5,2012,2287,2021,[b]
KN,76.5,2022,76.5,2022,37920,2021,
LC,75.8,2020,74.2,2022,140400,2021,
MF,,,,,19284,2022,
PM,,,,,5099,2022,
VC,78.7,2021,77.7,2022,85000,2021,
WS,76.3,2021,75.3,2022,171600,2021,
SM,85.1,2022,85.1,2022,25500,2021,
ST,57,2022,57,2022,112200,2021,
SA,100,2021,100,2023,36000000,2021,
SN,60,2022,60,2022,9860000,2021,
RS,85.4,2023,85.4,2023,5589000,2021,
SC,86.7,2022,86.7,2022,90200,2021,
SL,30.4,2022,30.4,2022,1047499,2022,
SG,96.9,2021,94.3,2023,5369000,2021,
SX,,,,,39089,2022,
SK,89.9,2020,87.2,2023,4806000,2021,
SI,90.4,2023,90.4,2023,1869000,2021,
SB,47.3,2021,45,2022,255600,2021,
SO,27.6,2022,27.6,2022,2465000,2021,
ZA,74.7,2022,74.7,2022,42480000,2021,
KR,97.6,2021,97.4,2023,50960000,2021,
SS,12.1,2022,12.1,2022,869000,2021,
ES,95.5,2023,95.4,2023,44180000,2021,
LK,50.1,2022,50.1,2022,14740000,2021,
SD,28.7,2022,28.7,2022,13248000,2021,
SR,75.8,2022,75.8,2022,402600,2021,
SE,95.7,2023,95.7,2023,8800000,2021,
CH,97.3,2023,97.3,2023,8352000,2021,
SY,35.8,2020,34.7,2019,8492468,2022,
TW,,,93.1,2023,21600000,2021,
TJ,36.1,2022,36.1,2022,3009054,2022,
TZ,31.9,2022,31.9,2022,20480000,2021,
TH,89.5,2023,89.5,2023,61200000,2021,
TG,37.6,2022,37.6,2022,3010000,2021,
TK,,,1.5,2003,800,2021,
TO,66.7,2020,57.5,2021,73700,2021,
TT,80,2022,80,2022,1185000,2021,
TN,73.8,2022,73.8,2022,9480000,2021,
TR,86,2023,86,2023,68850000,2021,
TM,21.3,2017,21.3,2017,1563023,2022,
TC,,,,,37008,2022,
TV,82.3,2021,81.2,2022,7920,2021,
UG,10,2021,10,2021,4600000,2021,
UA,79.2,2021,79.2,2021,34596356,2021,
AE,100,2020,100,2023,9400000,2021,
GB,95.3,2022,95.3,2022,64990000,2021,
US,97.1,2022,97.1,2022,312800000,2021,
UY,89.9,2022,89.9,2022,3060000,2021,
VI,64.4,2017,64.4,2017,67508,2022,
UZ,89,2023,89,2023,26180000,2021,
VU,69.9,2022,69.9,2022,211200,2021,
VA,,,85.1,2022,383,2021,
VE,61.6,2017,61.6,2017,22734162,2022,
